number of users, items, ratings:  7375 105114 5
[1,     0] loss: 0.099, The best rmse/mae: 9999.000000 / 9999.000000
[1,   100] loss: 8.303, The best rmse/mae: 9999.000000 / 9999.000000
[1,   200] loss: 4.696, The best rmse/mae: 9999.000000 / 9999.000000
[1,   300] loss: 2.755, The best rmse/mae: 9999.000000 / 9999.000000
[1,   400] loss: 2.260, The best rmse/mae: 9999.000000 / 9999.000000
[1,   500] loss: 2.057, The best rmse/mae: 9999.000000 / 9999.000000
[1,   600] loss: 1.890, The best rmse/mae: 9999.000000 / 9999.000000
[1,   700] loss: 1.796, The best rmse/mae: 9999.000000 / 9999.000000
[1,   800] loss: 1.672, The best rmse/mae: 9999.000000 / 9999.000000
[1,   900] loss: 1.609, The best rmse/mae: 9999.000000 / 9999.000000
[1,  1000] loss: 1.557, The best rmse/mae: 9999.000000 / 9999.000000
[1,  1100] loss: 1.501, The best rmse/mae: 9999.000000 / 9999.000000
[1,  1200] loss: 1.479, The best rmse/mae: 9999.000000 / 9999.000000
[1,  1300] loss: 1.388, The best rmse/mae: 9999.000000 / 9999.000000
[1,  1400] loss: 1.359, The best rmse/mae: 9999.000000 / 9999.000000
[1,  1500] loss: 1.318, The best rmse/mae: 9999.000000 / 9999.000000
[1,  1600] loss: 1.317, The best rmse/mae: 9999.000000 / 9999.000000
[1,  1700] loss: 1.338, The best rmse/mae: 9999.000000 / 9999.000000
rmse: 1.0575, mae:0.8239
[2,     0] loss: 0.009, The best rmse/mae: 1.057472 / 0.823898
[2,   100] loss: 1.287, The best rmse/mae: 1.057472 / 0.823898
[2,   200] loss: 1.224, The best rmse/mae: 1.057472 / 0.823898
[2,   300] loss: 1.237, The best rmse/mae: 1.057472 / 0.823898
[2,   400] loss: 1.239, The best rmse/mae: 1.057472 / 0.823898
[2,   500] loss: 1.196, The best rmse/mae: 1.057472 / 0.823898
[2,   600] loss: 1.225, The best rmse/mae: 1.057472 / 0.823898
[2,   700] loss: 1.180, The best rmse/mae: 1.057472 / 0.823898
[2,   800] loss: 1.189, The best rmse/mae: 1.057472 / 0.823898
[2,   900] loss: 1.186, The best rmse/mae: 1.057472 / 0.823898
[2,  1000] loss: 1.146, The best rmse/mae: 1.057472 / 0.823898
[2,  1100] loss: 1.157, The best rmse/mae: 1.057472 / 0.823898
[2,  1200] loss: 1.146, The best rmse/mae: 1.057472 / 0.823898
[2,  1300] loss: 1.162, The best rmse/mae: 1.057472 / 0.823898
[2,  1400] loss: 1.148, The best rmse/mae: 1.057472 / 0.823898
[2,  1500] loss: 1.126, The best rmse/mae: 1.057472 / 0.823898
[2,  1600] loss: 1.156, The best rmse/mae: 1.057472 / 0.823898
[2,  1700] loss: 1.133, The best rmse/mae: 1.057472 / 0.823898
rmse: 1.0486, mae:0.8117
[3,     0] loss: 0.011, The best rmse/mae: 1.048563 / 0.811705
[3,   100] loss: 1.135, The best rmse/mae: 1.048563 / 0.811705
[3,   200] loss: 1.114, The best rmse/mae: 1.048563 / 0.811705
[3,   300] loss: 1.151, The best rmse/mae: 1.048563 / 0.811705
[3,   400] loss: 1.116, The best rmse/mae: 1.048563 / 0.811705
[3,   500] loss: 1.122, The best rmse/mae: 1.048563 / 0.811705
[3,   600] loss: 1.118, The best rmse/mae: 1.048563 / 0.811705
[3,   700] loss: 1.097, The best rmse/mae: 1.048563 / 0.811705
[3,   800] loss: 1.099, The best rmse/mae: 1.048563 / 0.811705
[3,   900] loss: 1.096, The best rmse/mae: 1.048563 / 0.811705
[3,  1000] loss: 1.121, The best rmse/mae: 1.048563 / 0.811705
[3,  1100] loss: 1.089, The best rmse/mae: 1.048563 / 0.811705
[3,  1200] loss: 1.083, The best rmse/mae: 1.048563 / 0.811705
[3,  1300] loss: 1.117, The best rmse/mae: 1.048563 / 0.811705
[3,  1400] loss: 1.100, The best rmse/mae: 1.048563 / 0.811705
[3,  1500] loss: 1.076, The best rmse/mae: 1.048563 / 0.811705
[3,  1600] loss: 1.071, The best rmse/mae: 1.048563 / 0.811705
[3,  1700] loss: 1.086, The best rmse/mae: 1.048563 / 0.811705
rmse: 1.0436, mae:0.8054
[4,     0] loss: 0.011, The best rmse/mae: 1.043595 / 0.805439
[4,   100] loss: 1.083, The best rmse/mae: 1.043595 / 0.805439
[4,   200] loss: 1.077, The best rmse/mae: 1.043595 / 0.805439
[4,   300] loss: 1.094, The best rmse/mae: 1.043595 / 0.805439
[4,   400] loss: 1.077, The best rmse/mae: 1.043595 / 0.805439
[4,   500] loss: 1.069, The best rmse/mae: 1.043595 / 0.805439
[4,   600] loss: 1.070, The best rmse/mae: 1.043595 / 0.805439
[4,   700] loss: 1.095, The best rmse/mae: 1.043595 / 0.805439
[4,   800] loss: 1.068, The best rmse/mae: 1.043595 / 0.805439
[4,   900] loss: 1.064, The best rmse/mae: 1.043595 / 0.805439
[4,  1000] loss: 1.064, The best rmse/mae: 1.043595 / 0.805439
[4,  1100] loss: 1.068, The best rmse/mae: 1.043595 / 0.805439
[4,  1200] loss: 1.073, The best rmse/mae: 1.043595 / 0.805439
[4,  1300] loss: 1.069, The best rmse/mae: 1.043595 / 0.805439
[4,  1400] loss: 1.063, The best rmse/mae: 1.043595 / 0.805439
[4,  1500] loss: 1.048, The best rmse/mae: 1.043595 / 0.805439
[4,  1600] loss: 1.051, The best rmse/mae: 1.043595 / 0.805439
[4,  1700] loss: 1.021, The best rmse/mae: 1.043595 / 0.805439
rmse: 1.0317, mae:0.7958
[5,     0] loss: 0.009, The best rmse/mae: 1.031682 / 0.795793
[5,   100] loss: 1.048, The best rmse/mae: 1.031682 / 0.795793
[5,   200] loss: 1.051, The best rmse/mae: 1.031682 / 0.795793
[5,   300] loss: 1.033, The best rmse/mae: 1.031682 / 0.795793
[5,   400] loss: 1.064, The best rmse/mae: 1.031682 / 0.795793
[5,   500] loss: 1.062, The best rmse/mae: 1.031682 / 0.795793
[5,   600] loss: 1.030, The best rmse/mae: 1.031682 / 0.795793
[5,   700] loss: 1.055, The best rmse/mae: 1.031682 / 0.795793
[5,   800] loss: 1.014, The best rmse/mae: 1.031682 / 0.795793
[5,   900] loss: 1.032, The best rmse/mae: 1.031682 / 0.795793
[5,  1000] loss: 1.039, The best rmse/mae: 1.031682 / 0.795793
[5,  1100] loss: 1.040, The best rmse/mae: 1.031682 / 0.795793
[5,  1200] loss: 1.036, The best rmse/mae: 1.031682 / 0.795793
[5,  1300] loss: 1.039, The best rmse/mae: 1.031682 / 0.795793
[5,  1400] loss: 1.038, The best rmse/mae: 1.031682 / 0.795793
[5,  1500] loss: 1.033, The best rmse/mae: 1.031682 / 0.795793
[5,  1600] loss: 1.018, The best rmse/mae: 1.031682 / 0.795793
[5,  1700] loss: 1.015, The best rmse/mae: 1.031682 / 0.795793
rmse: 1.0218, mae:0.7824
[6,     0] loss: 0.014, The best rmse/mae: 1.021810 / 0.782399
[6,   100] loss: 0.988, The best rmse/mae: 1.021810 / 0.782399
[6,   200] loss: 1.035, The best rmse/mae: 1.021810 / 0.782399
[6,   300] loss: 1.039, The best rmse/mae: 1.021810 / 0.782399
[6,   400] loss: 1.003, The best rmse/mae: 1.021810 / 0.782399
[6,   500] loss: 1.012, The best rmse/mae: 1.021810 / 0.782399
[6,   600] loss: 0.998, The best rmse/mae: 1.021810 / 0.782399
[6,   700] loss: 1.011, The best rmse/mae: 1.021810 / 0.782399
[6,   800] loss: 1.004, The best rmse/mae: 1.021810 / 0.782399
[6,   900] loss: 0.993, The best rmse/mae: 1.021810 / 0.782399
[6,  1000] loss: 1.010, The best rmse/mae: 1.021810 / 0.782399
[6,  1100] loss: 1.026, The best rmse/mae: 1.021810 / 0.782399
[6,  1200] loss: 1.026, The best rmse/mae: 1.021810 / 0.782399
[6,  1300] loss: 1.008, The best rmse/mae: 1.021810 / 0.782399
[6,  1400] loss: 1.023, The best rmse/mae: 1.021810 / 0.782399
[6,  1500] loss: 1.019, The best rmse/mae: 1.021810 / 0.782399
[6,  1600] loss: 1.020, The best rmse/mae: 1.021810 / 0.782399
[6,  1700] loss: 1.005, The best rmse/mae: 1.021810 / 0.782399
rmse: 1.0140, mae:0.7795
[7,     0] loss: 0.012, The best rmse/mae: 1.013993 / 0.779518
[7,   100] loss: 0.982, The best rmse/mae: 1.013993 / 0.779518
